Site,,,Address,Dolium no.,Ext. rim diam.,Int. rim diam.,wall thickness,Volume (amph),Volume (l),how vol indicated,Height,pres. height,depth,pres depth,ext belly diameter ,int belly diameter,base diameter,size (sm/med/lrg),type (spherical/cylindrical),Repairs/Modifications,Fill - I,Mat.,Stage,Fill - E,Mat. 2,Stage 2,DD - I,Mat. 3,Stage 3,DD - E,Mat. 4,Stage 4,DDT - I,Mat. 5,Stage 5,DDT - E,Mat. 6,Stage 6,Staple,Mat. 7,Stage 7,Clamp,Mat. 8,Stage 8,Hybrid,Mat. 9,Stage 9,Types of Repairs,Lead,Lead Alloy,Both,Iron in Lead,Production Phase,Use Life,Both of last two,Unknown,Modifications,Stamp,Incision,context,contents?,Notes,Other,
Pompei ,,,I.XX.5,1,--,--,3.1,,--,--,--,--,--,--,90,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XX.5,2,62,39,--,,--,--,--,30,--,85,95,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XX.5,3,64,36,--,,--,--,--,96,--,--,110,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XX.5,4,--,--,2.6,,--,--,--,--,--,--,90,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Garden/vineyard,,
Pompei ,,,I.XX.1,1,--,--,3.7,,--,--,--,--,--,70,82,74,,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Inn/vineyard,,
Pompei ,,,I.XX.1,2,50,40,--,--,--,--,--,32,--,--,82,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Inn/vineyard,,
Pompei ,,,I.XX.1,3,--,43,4.1,,--,--,--,--,--,--,--,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Inn/vineyard,,
Pompei ,,,I.XX.1,4,43,28,--,--,--,--,--,--,--,--,--,--,--,,Unknown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Production,L - wine,Inn/vineyard,,
Pompei ,,,I.XI.10-11,1,,,,,,,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,no permission,
Pompei ,,,I.XI.10-11,2,,,,,,,,,,,,,,Large,Spherical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Production,L - wine,,no permission,
Pompei ,,,I.ii.18-19,1,,,,,,,,,,,,,,Medium?,Cylindrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Distribution,D - unk,,no permission,
Pompeii,,,VIII.iv.17,1,80,48,3.8,,308,calculated,,80,--,--,--,70,--,Large,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,D - unk,Shop,,
Pompeii,,,V.II.13,1,57,34,--,,270,calculated,,--,70,--,--,70,--,--,Cylindrical,Y,Y,L,Unk,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,Y,,,,,,,,--,--,Distribution,D - unk,Thermapolium,,
Pompeii,,,V.IV.6-7,1,--,--,--,--,--,--,--,--,--,--,70,,,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,2,53,38,--,--,--,--,--,--,--,--,--,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,3,64,40,--,--,--,--,--,--,--,--,100,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,Y,,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,4,52,37,--,--,--,--,--,--,--,--,70,--,--,,Cylindrical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,--,--,Distribution,L - wine,Shop,no permission,
Pompeii,,,V.IV.6-7,5,60,38,--,--,--,--,--,--,--,--,100,--,--,,Spherical,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,,,,,,,,Y,,Distribution,L - wine,Shop,no permission,
